taxon_id,scientific_name,common_name,is_final_species,experiment_label,experiment_display_name,domain,reference_label,modalities,image_backbone,sat_backbone,fit_result_path,fit_result_exists,lppd_test,lppd_null_test,lppd_oracle_test,lppd_test_norm,biolith_ap_test,biolith_roc_auc_test,lr_map_test,lr_precision_test,lr_recall_test,lr_f1_test,lr_mcc_test
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/1db1c6e2-2ea9-45a6-ab69-a730133298eb_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-3984.246337890625,-4390.3291015625,-2169.80615234375,0.18287708479425882,0.2195918117241063,0.7185924749092696,0.22080546579033564,0.1695906432748538,0.08605341246290801,0.1141732283464567,0.027520928061395483
41930eb4-2283-445a-8758-1f0b2ff43cf9,Spilogale putorius,eastern spotted skunk,False,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/41930eb4-2283-445a-8758-1f0b2ff43cf9_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-46.21807098388672,-44.9925537109375,-44.927978515625,-18.9781427221172,0.017140149697984775,0.5882352941176471,0.0035520467567649447,0.0,0.0,0.0,-0.0033208003844160386
43320a08-bf31-49a5-8213-f032311c5765,Castor canadensis,american beaver,False,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/43320a08-bf31-49a5-8213-f032311c5765_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-324.4307556152344,-312.82769775390625,-298.7142333984375,-0.8221268406599347,0.009938871292107325,0.5695714507129571,0.00790950832074494,0.0,0.0,0.0,0.0
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/436ddfdd-bc43-44c3-a25d-34671d3430a0_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-3181.697509765625,-3254.26220703125,-1907.0323486328125,0.05386215040682709,0.2682588035992675,0.7728873084424017,0.22296376211205443,0.24449877750611246,0.27932960893854747,0.2607561929595828,0.1489324804862962
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/5acf63fb-339d-42b1-af7e-95f6151ae5fb_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-476.6461181640625,-527.4459838867188,-332.0203857421875,0.25994478822107075,0.5496457597400847,0.7839490445859872,0.4816221988689003,0.6666666666666666,0.16,0.25806451612903225,0.24638891274838387
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/5c7ce479-8a45-40b3-ae21-7c97dfae22f5_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-15204.3076171875,-16767.869140625,-9401.537109375,0.2122578125455713,0.8879885905333513,0.7677913286938262,0.8910742434505429,0.8842934515017233,0.7163940965297168,0.7915381225209344,0.3428669086681694
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/667a4650-a141-4c4e-844e-58cdeaeb4ae1_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-5703.10498046875,-5477.6904296875,-3180.15771484375,-0.09811157391792784,0.2282587104163426,0.6330173021641265,0.23429292895152243,0.0,0.0,0.0,-0.02318369546387775
819ea972-9d43-40f8-a47d-f415c816de94,Martes americana,american marten,False,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/819ea972-9d43-40f8-a47d-f415c816de94_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-69.3329086303711,-46.26873016357422,-45.649871826171875,-37.268914504099115,0.023952903690719132,0.8326118326118326,0.03615144499062728,0.0,0.0,0.0,-0.022823214900856082
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/86f5b978-4f30-40cc-bd08-be9e3fba27a0_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-10865.296875,-12743.17578125,-6061.72607421875,0.2810586008413424,0.7780253877835843,0.8098752771171112,0.7804464740231752,0.7532833020637899,0.5748031496062992,0.6520503451075924,0.4083821238877187
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/87be3a5c-e60a-4e7e-88c7-21544914d067_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-8564.7490234375,-8641.0517578125,-5284.64453125,0.022733455514915648,0.4039017438192614,0.6391396259046388,0.4134479926665902,0.4689655172413793,0.07257203842049093,0.1256931608133087,0.0746416633716584
